IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.226.7.217,443,443,true,NRT,Asia Pacific,Tokyo,67,5.21
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,70,5.20
129.146.248.140,443,443,true,LAX,North America,Los Angeles,182,5.20
84.8.156.183,443,443,true,FRA,Europe,Frankfurt,291,5.19
146.56.167.69,443,443,true,NRT,Asia Pacific,Tokyo,115,5.19
141.147.104.111,443,443,true,FRA,Europe,Frankfurt,279,5.12
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,249,5.06
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,71,4.98
141.147.90.59,443,443,true,FRA,Europe,Frankfurt,273,4.98
132.145.54.84,8443,443,true,LHR,Europe,London,256,4.87
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,88,4.81
155.248.202.141,443,443,true,SJC,North America,San Jose,185,4.61
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,131,4.59
155.248.196.123,443,443,true,YVR,North America,Vancouver,185,4.57
146.235.192.207,443,443,true,SJC,North America,San Jose,204,4.53
138.3.221.84,443,443,true,SIN,Asia Pacific,Singapore,256,4.47
146.235.219.98,443,443,true,SJC,North America,San Jose,179,4.44
129.153.213.8,443,443,true,LAX,North America,Los Angeles,186,4.44
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,247,4.39
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,247,4.29
144.21.51.110,443,443,true,LHR,Europe,London,256,4.27
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,247,4.26
130.162.220.215,443,443,true,FRA,Europe,Frankfurt,247,4.15
130.162.183.48,443,443,true,FRA,Europe,Frankfurt,278,4.14
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,253,4.13
64.110.88.200,8443,80,false,ICN,Asia Pacific,Seoul,151,4.10
141.147.33.157,443,443,true,FRA,Europe,Frankfurt,315,4.10
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,249,4.09
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,248,4.09
129.153.119.97,443,443,true,LAX,North America,Los Angeles,410,4.04
129.146.213.36,80,443,true,LAX,North America,Los Angeles,200,4.03
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,319,4.02
152.67.231.219,443,443,true,SJC,North America,San Jose,191,4.01
130.162.36.233,443,443,true,FRA,Europe,Frankfurt,249,3.98
143.47.189.235,443,443,true,FRA,Europe,Frankfurt,317,3.95
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,274,3.94
144.21.34.64,443,443,true,FRA,Europe,Frankfurt,255,3.88
158.101.173.135,443,443,true,FRA,Europe,Frankfurt,321,3.86
144.21.40.211,443,443,true,FRA,Europe,Frankfurt,317,3.86
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,327,3.86
143.47.177.97,443,443,true,FRA,Europe,Frankfurt,329,3.84
141.148.237.10,443,443,true,FRA,Europe,Frankfurt,255,3.83
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,249,3.80
141.148.243.125,443,443,true,FRA,Europe,Frankfurt,329,3.80
141.148.227.34,443,443,true,FRA,Europe,Frankfurt,320,3.80
193.123.33.187,443,443,true,FRA,Europe,Frankfurt,254,3.79
193.123.33.238,443,443,true,FRA,Europe,Frankfurt,255,3.79
193.123.62.244,443,443,true,FRA,Europe,Frankfurt,255,3.79
141.148.224.17,443,443,true,FRA,Europe,Frankfurt,253,3.76
193.123.34.208,443,443,true,FRA,Europe,Frankfurt,258,3.76
193.123.59.103,443,443,true,CDG,Europe,Paris,254,3.76
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,255,3.76
84.235.170.192,443,443,true,FRA,Europe,Frankfurt,257,3.74
158.101.203.109,443,443,true,FRA,Europe,Frankfurt,333,3.73
130.162.240.220,443,443,true,FRA,Europe,Frankfurt,249,3.72
141.148.233.160,443,443,true,FRA,Europe,Frankfurt,254,3.69
193.123.32.63,443,443,true,FRA,Europe,Frankfurt,262,3.68
141.144.195.65,443,443,true,FRA,Europe,Frankfurt,326,3.63
143.47.178.109,443,443,true,FRA,Europe,Frankfurt,319,3.62
193.123.33.238,443,443,true,FRA,Europe,Frankfurt,265,3.61
141.147.84.56,443,443,true,FRA,Europe,Frankfurt,287,3.60
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,320,3.59
193.123.34.208,443,443,true,FRA,Europe,Frankfurt,254,3.58
152.70.73.77,443,443,true,MRS,Europe,Marseille,49,3.57
144.21.42.89,443,443,true,FRA,Europe,Frankfurt,323,3.51
152.70.56.209,8443,443,true,AMS,Europe,Amsterdam,324,3.50
193.123.58.201,443,443,true,FRA,Europe,Frankfurt,262,3.50
152.70.48.166,443,443,true,FRA,Europe,Frankfurt,342,3.43
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,3.28
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,317,3.26
138.3.253.140,8080,8080,false,FRA,Europe,Frankfurt,254,3.20
158.101.181.10,443,443,true,FRA,Europe,Frankfurt,249,3.19
193.122.57.182,443,443,true,FRA,Europe,Frankfurt,300,3.15
143.47.182.56,2053,443,true,AMS,Europe,Amsterdam,247,3.14
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,249,3.12
141.147.114.94,443,443,true,FRA,Europe,Frankfurt,268,3.12
193.123.64.217,443,443,true,CDG,Europe,Paris,101,2.99
141.147.110.194,443,443,true,CDG,Europe,Paris,256,2.97
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,314,2.96
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,307,2.90
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,247,2.89
141.147.95.130,443,443,true,FRA,Europe,Frankfurt,284,2.80
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,247,2.80
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,103,2.77
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,265,2.77
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,90,2.76
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,316,2.62
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,117,2.47
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,315,2.35
